,PMID,Type,Content,MaxLine
10,12079497,t,"Embryonic stem cells and mice expressing different GFP variants for multiple non-invasive reporter usage within a single animal
",
11,12079497,a,"
Abstract

Background

Non-invasive autofluorescent reporters have revolutionized lineage labeling in an array of different organisms. In recent years green fluorescent protein (GFP) from the bioluminescent jellyfish Aequoria Victoria has gained popularity in mouse transgenic and gene targeting regimes [1]. It offers several advantages over conventional gene-based reporters, such as lacZ and alkaline phosphatase, in that its visualization does not require a chromogenic substrate and can be realized in vivo. We have previously demonstrated the utility and developmental neutrality of enhanced green fluorescent protein (EGFP) in embryonic stem (ES) cells and mice [2].

Results

In this study we have used embryonic stem (ES) cell-mediated transgenesis to test the enhanced cyan fluorescent protein (ECFP) and enhanced yellow fluorescent protein (EYFP), two mutant and spectrally distinct color variants of wild type (wt) GFP. We have also tested DsRed1, the novel red fluorescent protein reporter recently cloned from the Discostoma coral by virtue of its homology to GFP. To this end, we have established lines of ES cells together with viable and fertile mice having widespread expression of either the ECFP or EYFP GFP-variant reporters. However, we were unable to generate equivalent DsRed1 lines, suggesting that DsRed1 is not developmentally neutral or that transgene expression cannot be sustained constitutively. Balanced (diploid <-> diploid) and polarized (tetraploid <-> diploid) chimeras comprising combinations of the ECFP and EYFP ES cells and/or embryos, demonstrate that populations of cells expressing each individual reporter can be distinguished within a single animal.

Conclusions

GFP variant reporters are unique in allowing non-invasive multi-spectral visualization in live samples. The ECFP and EYFP-expressing transgenic ES cells and mice that we have generated provide sources of cells and tissues for combinatorial, double-tagged recombination experiments, chimeras or transplantations.

",2150.0
12,12546709,t,"Morphological characterization of the AlphaA- and AlphaB-crystallin double knockout mouse lens
",
13,12546709,a,"
Abstract

Background

One approach to resolving some of the in vivo functions of alpha-crystallin is to generate animal models where one or both of the alpha-crystallin gene products have been eliminated. In the single alpha-crystallin knockout mice, the remaining alpha-crystallin may fully or partially compensate for some of the functions of the missing protein, especially in the lens, where both alphaA and alphaB are normally expressed at high levels. The purpose of this study was to characterize gross lenticular morphology in normal mice and mice with the targeted disruption of alphaA- and alphaB-crystallin genes (alphaA/BKO).

Methods

Lenses from 129SvEvTac mice and alphaA/BKO mice were examined by standard scanning electron microscopy and confocal microscopy methodologies.

Results

Equatorial and axial (sagittal) dimensions of lenses for alphaA/BKO mice were significantly smaller than age-matched wild type lenses. No posterior sutures or fiber cells extending to the posterior capsule of the lens were found in alphaA/BKO lenses. Ectopical nucleic acid staining was observed in the posterior subcapsular region of 5 wk and anterior subcapsular cortex of 54 wk alphaA/BKO lenses. Gross morphological differences were also observed in the equatorial/bow, posterior and anterior regions of lenses from alphaA/BKO mice as compared to wild mice.

Conclusion

These results indicated that both alphaA- and alphaB-crystallin are necessary for proper fiber cell formation, and that the absence of alpha-crystallin can lead to cataract formation.

",1656.0
14,12585968,t,"Brn3c null mutant mice show long-term, incomplete retention of some afferent inner ear innervation
",
15,12585968,a,"
Abstract

Background

Ears of Brn3c null mutants develop immature hair cells, identifiable only by certain molecular markers, and undergo apoptosis in neonates. This partial development of hair cells could lead to enough neurotrophin expression to sustain sensory neurons through embryonic development. We have therefore investigated in these mutants the patterns of innervation and of expression of known neurotrophins.

Results

At birth there is a limited expression of BDNF and NT-3 in the mutant sensory epithelia and DiI tracing shows no specific reduction of afferents or efferents that resembles neurotrophin null mutations. At postnatal day 7/8 (P7/8), innervation is severely reduced both qualitatively and quantitatively. 1% of myosin VIIa-positive immature hair cells are present in the mutant cochlea, concentrated in the base. Around 20% of immature hair cells exist in the mutant vestibular sensory epithelia. Despite more severe loss of hair cells (1% compared to 20%), the cochlea retains many more sensory neurons (46% compared to 15%) than vestibular epithelia. Even 6 months old mutant mice have some fibers to all vestibular sensory epithelia and many more to the cochlear apex which lacks MyoVIIa positive hair cells. Topologically organized central cochlea projections exist at least until P8, suggesting that functional hair cells are not required to establish such projections.

Conclusion

The limited expression of neurotrophins in the cochlea of Brn3c null mice suffices to support many sensory neurons, particularly in the cochlea, until birth. The molecular nature of the long term survival of apical spiral neurons remains unclear.

Keywords: ear development, POU factors and hair cells, afferent ear innervation, efferent ear innervation

",1871.0
16,12925238,t,"Function, expression and localization of annexin A7 in platelets and red blood cells: Insights derived from an annexin A7 mutant mouse
",
17,12925238,a,"
Abstract

Background

Annexin A7 is a Ca2+- and phospholipid-binding protein expressed as a 47 and 51 kDa isoform, which is thought to be involved in membrane fusion processes. Recently the 47 kDa isoform has been identified in erythrocytes where it was proposed to be a key component in the process of the Ca2+-dependent vesicle release, a process with which red blood cells might protect themselves against an attack by for example complement components.

Results

The role of annexin A7 in red blood cells was addressed in erythrocytes from anxA7-/- mice. Interestingly, the Ca2+-mediated vesiculation process was not impaired. Also, the membrane organization appeared not to be disturbed as assessed using gradient fractionation studies. Instead, lack of annexin A7 led to an altered cell shape and increased osmotic resistance of red blood cells. Annexin A7 was also identified in platelets. In these cells its loss led to a slightly slower aggregation velocity which seems to be compensated by an increased number of platelets. The results appear to rule out an important role of annexin A7 in membrane fusion processes occurring in red blood cells. Instead the protein might be involved in the organization of the membrane cytoskeleton. Red blood cells may represent an appropriate model to study the role of annexin A7 in cellular processes.

Conclusion

We have demonstrated the presence of both annexin A7 isoforms in red blood cells and the presence of the small isoform in platelets. In both cell types the loss of annexin A7 impairs cellular functions. The defects observed are however not compatible with a crucial role for annexin A7 in membrane fusion processes in these cell types.

",1836.0
18,14609438,t,"A model of tripeptidyl-peptidase I (CLN2), a ubiquitous and highly conserved member of the sedolisin family of serine-carboxyl peptidases
",
19,14609438,a,"
Abstract

Background

Tripeptidyl-peptidase I, also known as CLN2, is a member of the family of sedolisins (serine-carboxyl peptidases). In humans, defects in expression of this enzyme lead to a fatal neurodegenerative disease, classical late-infantile neuronal ceroid lipofuscinosis. Similar enzymes have been found in the genomic sequences of several species, but neither systematic analyses of their distribution nor modeling of their structures have been previously attempted.

Results

We have analyzed the presence of orthologs of human CLN2 in the genomic sequences of a number of eukaryotic species. Enzymes with sequences sharing over 80% identity have been found in the genomes of macaque, mouse, rat, dog, and cow. Closely related, although clearly distinct, enzymes are present in fish (fugu and zebra), as well as in frogs (Xenopus tropicalis). A three-dimensional model of human CLN2 was built based mainly on the homology with Pseudomonas sp. 101 sedolisin.

Conclusion

CLN2 is very highly conserved and widely distributed among higher organisms and may play an important role in their life cycles. The model presented here indicates a very open and accessible active site that is almost completely conserved among all known CLN2 enzymes. This result is somehow surprising for a tripeptidase where the presence of a more constrained binding pocket was anticipated. This structural model should be useful in the search for the physiological substrates of these enzymes and in the design of more specific inhibitors of CLN2.

",1679.0
20,14611657,t,"Odorant receptor expressed sequence tags demonstrate olfactory expression of over 400 genes, extensive alternate splicing and unequal expression levels
",
21,14611657,a,"
Previous computational analyses have identified approximately 1,500 mouse olfactory receptors, but experimental evidence confirming olfactory function is available for very few receptors. A mouse olfactory epithelium cDNA library was screened to obtain olfactory receptor expressed sequence tags, providing evidence of olfactory function for many additional olfactory receptors, as well as identifying gene structure and putative promoter regions.

Abstract

Background

The olfactory receptor gene family is one of the largest in the mammalian genome. Previous computational analyses have identified approximately 1,500 mouse olfactory receptors, but experimental evidence confirming olfactory function is available for very few olfactory receptors. We therefore screened a mouse olfactory epithelium cDNA library to obtain olfactory receptor expressed sequence tags, providing evidence of olfactory function for many additional olfactory receptors, as well as identifying gene structure and putative promoter regions.

Results

We identified more than 1,200 odorant receptor cDNAs representing more than 400 genes. Using real-time PCR to confirm expression level differences suggested by our screen, we find that transcript levels in the olfactory epithelium can differ between olfactory receptors by up to 300-fold. Differences for one gene pair are apparently due to both unequal numbers of expressing cells and unequal transcript levels per expressing cell. At least two-thirds of olfactory receptors exhibit multiple transcriptional variants, with alternative isoforms of both 5' and 3' untranslated regions. Some transcripts (5%) utilize splice sites within the coding region, contrary to the stereotyped olfactory receptor gene structure. Most atypical transcripts encode nonfunctional olfactory receptors, but can occasionally increase receptor diversity.

Conclusions

Our cDNA collection confirms olfactory function of over one-third of the intact mouse olfactory receptors. Most of these genes were previously annotated as olfactory receptors based solely on sequence similarity. Our finding that different olfactory receptors have different expression levels is intriguing given the one-neuron, one-gene expression regime of olfactory receptors. We provide 5' untranslated region sequences and candidate promoter regions for more than 300 olfactory receptors, valuable resources for computational regulatory motif searches and for designing olfactory receptor microarrays and other experimental probes.

",2670.0
22,14624252,t,"Additive Effects of PDGF Receptor β Signaling Pathways in Vascular Smooth Muscle Cell Development
",
23,14624252,a,"
Abstract

The platelet-derived growth factor β receptor (PDGFRβ) is known to activate many molecules involved in signal transduction and has been a paradigm for receptor tyrosine kinase signaling for many years. We have sought to determine the role of individual signaling components downstream of this receptor in vivo by analyzing an allelic series of tyrosine–phenylalanine mutations that prevent binding of specific signal transduction components. Here we show that the incidence of vascular smooth muscle cells/pericytes (v/p), a PDGFRβ-dependent cell type, can be correlated to the amount of receptor expressed and the number of activated signal transduction pathways. A decrease in either receptor expression levels or disruption of multiple downstream signaling pathways lead to a significant reduction in v/p. Conversely, loss of RasGAP binding leads to an increase in this same cell population, implicating a potential role for this effector in attenuating the PDGFRβ signal. The combined in vivo and biochemical data suggest that the summation of pathways associated with the PDGFRβ signal transduction determines the expansion of developing v/p cells.
",1263.0
24,14675480,t,"Knockout of ERK5 causes multiple defects in placental and embryonic development
",
25,14675480,a,"
Abstract

Backgroud

ERK5 is a member of the mitogen activated protein kinase family activated by certain mitogenic or stressful stimuli in cells, but whose physiological role is largely unclear.

Results

To help determine the function of ERK5 we have used gene targeting to inactivate this gene in mice. Here we report that ERK5 knockout mice die at approximately E10.5. In situ hybridisation for ERK5, and its upstream activator MKK5, showed strong expression in the head and trunk of the embryo at this stage of development. Between E9.5 and E10.5, multiple developmental problems are seen in the ERK5-/- embryos, including an increase in apoptosis in the cephalic mesenchyme tissue, abnormalities in the hind gut, as well as problems in vascular remodelling, cardiac development and placental defects.

Conclusion

Erk5 is essential for early embryonic development, and is required for normal development of the vascular system and cell survival.

",1034.0
26,14691534,t,"Pten Dose Dictates Cancer Progression in the Prostate
",
27,14691534,a,"
Abstract

Complete inactivation of the PTEN tumor suppressor gene is extremely common in advanced cancer, including prostate cancer (CaP). However, one PTEN allele is already lost in the vast majority of CaPs at presentation. To determine the consequence of PTEN dose variations on cancer progression, we have generated by homologous recombination a hypomorphic Pten mouse mutant series with decreasing Pten activity: Ptenhy/+ > Pten+/− > Ptenhy/− (mutants in which we have rescued the embryonic lethality due to complete Pten inactivation) > Pten prostate conditional knockout (Ptenpc) mutants. In addition, we have generated and comparatively analyzed two distinct Ptenpc mutants in which Pten is inactivated focally or throughout the entire prostatic epithelium. We find that the extent of Pten inactivation dictate in an exquisite dose-dependent fashion CaP progression, its incidence, latency, and biology. The dose of Pten affects key downstream targets such as Akt, p27Kip1, mTOR, and FOXO3. Our results provide conclusive genetic support for the notion that PTEN is haploinsufficient in tumor suppression and that its dose is a key determinant in cancer progression.
",1230.0
28,14723793,t,"Molecular cloning and characterization of the mouse Acdp gene family
",
29,14723793,a,"
Abstract

Background

We have recently cloned and characterized a novel gene family named ancient conserved domain protein (ACDP) in humans. To facilitate the functional study of this novel gene family, we have cloned and characterized Acdp, the mouse homologue of the human ACDP gene family.

Results

The four Acdp genes (Acdp1, Acdp2, Acdp3 and Acdp4) contain 3,631 bp, 3,244 bp, 2,684 bp and 2,743 bp of cDNA sequences, and encode deduced proteins of 951, 874, 713 and 771 amino acids, respectively. The mouse Acdp genes showed very strong homologies (>90%) in both nucleotide and amino acid sequences to their human counterparts. In addition, both nucleotide and amino acid sequences within the Ancient Conserved Domain (ACD) are highly conserved in many different taxonomic species. Particularly, Acdp proteins showed very strong AA homologies to the bacteria CorC protein (35% AA identity with 55% homology), which is involved in magnesium and cobalt efflux. The Acdp genes are widely expressed in all tissues tested except for Acdp1, which is only highly expressed in the brain with low levels of expression in kidney and testis. Immunostaining of Acdp1 in hippocampus neurons revealed a predominant localization on the plasma membrane.

Conclusion

The Acdp genes are evolutionarily conserved in diverse species and ubiquitously expressed throughout development and adult tissues suggesting that Acdp may be an essential gene. Acdp showed strong homology to bacteria CorC protein and predominantly localized on the plasma membrane. These results suggest that Acdp is probably a family of proteins involved in ion transport in mammalian cells

",1722.0
30,14737183,t,"Dorsoventral Patterning of the Mouse Coat by Tbx15
",
31,14737183,a,"
Abstract

Many members of the animal kingdom display coat or skin color differences along their dorsoventral axis. To determine the mechanisms that control regional differences in pigmentation, we have studied how a classical mouse mutation, droopy ear (deH), affects dorsoventral skin characteristics, especially those under control of the Agouti gene. Mice carrying the Agouti allele black-and-tan (at) normally have a sharp boundary between dorsal black hair and yellow ventral hair; the deH mutation raises the pigmentation boundary, producing an apparent dorsal-to-ventral transformation. We identify a 216 kb deletion in deH that removes all but the first exon of the Tbx15 gene, whose embryonic expression in developing mesenchyme correlates with pigmentary and skeletal malformations observed in deH/deH animals. Construction of a targeted allele of Tbx15 confirmed that the deH phenotype was caused by Tbx15 loss of function. Early embryonic expression of Tbx15 in dorsal mesenchyme is complementary to Agouti expression in ventral mesenchyme; in the absence of Tbx15, expression of Agouti in both embryos and postnatal animals is displaced dorsally. Transplantation experiments demonstrate that positional identity of the skin with regard to dorsoventral pigmentation differences is acquired by E12.5, which is shortly after early embryonic expression of Tbx15. Fate-mapping studies show that the dorsoventral pigmentation boundary is not in register with a previously identified dermal cell lineage boundary, but rather with the limb dorsoventral boundary. Embryonic expression of Tbx15 in dorsolateral mesenchyme provides an instructional cue required to establish the future positional identity of dorsal dermis. These findings represent a novel role for T-box gene action in embryonic development, identify a previously unappreciated aspect of dorsoventral patterning that is widely represented in furred mammals, and provide insight into the mechanisms that underlie region-specific differences in body morphology.
",2082.0
32,15005800,t,"Late gestational lung hypoplasia in a mouse model of the Smith-Lemli-Opitz syndrome
",
33,15005800,a,"
Abstract

Background

Normal post-squalene cholesterol biosynthesis is important for mammalian embryonic development. Neonatal mice lacking functional dehydrocholesterol Δ7-reductase (Dhcr7), a model for the human disease of Smith-Lemli-Opitz syndrome, die within 24 hours of birth. Although they have a number of biochemical and structural abnormalities, one cause of death is from apparent respiratory failure due to developmental pulmonary abnormalities.

Results

In this study, we characterized further the role of cholesterol deficiency in lung development of these mice. Significant growth retardation, beginning at E14.5~E16.5, was observed in Dhcr7-/- embryos. Normal lobation but smaller lungs with a significant decrease in lung-to-body weight ratio was noted in Dhcr7-/- embryos, compared to controls. Lung branching morphogenesis was comparable between Dhcr7-/- and controls at early stages, but delayed saccular development was visible in all Dhcr7-/- embryos from E17.5 onwards. Impaired pre-alveolar development of varying severity, inhibited cell proliferation, delayed differentiation of type I alveolar epithelial cells (AECs) and delayed vascular development were all evident in knockout lungs. Differentiation of type II AECs was apparently normal as judged by surfactant protein (SP) mRNAs and SP-C immunostaining. A significant amount of cholesterol was detectable in knockout lungs, implicating some maternal transfer of cholesterol. No significant differences of the spatial-temporal localization of sonic hedgehog (Shh) or its downstream targets by immunohistochemistry were detected between knockout and wild-type lungs and Shh autoprocessing occurred normally in tissues from Dhcr7-/- embryos.

Conclusion

Our data indicated that cholesterol deficiency caused by Dhcr7 null was associated with a distinct lung saccular hypoplasia, characterized by failure to terminally differentiate alveolar sacs, a delayed differentiation of type I AECs and an immature vascular network at late gestational stages. The molecular mechanism of impaired lung development associated with sterol deficiency by Dhcr7 loss is still unknown, but these results do not support the involvement of dysregulated Shh-Patched-Gli pathway in causing this defect.

",2348.0
34,15018652,t,"Dppa3 / Pgc7 / stella is a maternal factor and is not required for germ cell specification in mice
",
35,15018652,a,"
Abstract

Background

In mice, germ cells are specified through signalling between layers of cells comprising the primitive embryo. The function of Dppa3 (also known as Pgc7 or stella), a gene expressed in primordial germ cells at the time of their emergence in gastrulating embryos, is unknown, but a recent study has claimed that it plays a central role in germ cell specification.

Results

To test Dppa3's role in germ cell development, we disrupted the gene in mouse embryonic stem cells and generated mutant animals. We were able to obtain viable and fertile Dppa3-deficient animals of both sexes. Examination of embryonic and adult germ cells and gonads in Dppa3-deficient animals did not reveal any defects. However, most embryos derived from Dppa3-deficient oocytes failed to develop normally beyond the four-cell stage.

Conclusion

We found that Dppa3 is an important maternal factor in the cleavage stages of mouse embryogenesis. However, it is not required for germ cell specification.

",1100.0
36,15040800,t,"A mouse model of sitosterolemia: absence of Abcg8/sterolin-2 results in failure to secrete biliary cholesterol
",
37,15040800,a,"
Abstract

Background

Mutations in either of two genes comprising the STSL locus, ATP-binding cassette (ABC)-transporters ABCG5 (encoding sterolin-1) and ABCG8 (encoding sterolin-2), result in sitosterolemia, a rare autosomal recessive disorder of sterol trafficking characterized by increased plasma plant sterol levels. Based upon the genetics of sitosterolemia, ABCG5/sterolin-1 and ABCG8/sterolin-2 are hypothesized to function as obligate heterodimers. No phenotypic difference has yet been described in humans with complete defects in either ABCG5 or ABCG8. These proteins, based upon the defects in humans, are responsible for regulating dietary sterol entry and biliary sterol secretion.

Methods

In order to mimic the human disease, we created, by a targeted disruption, a mouse model of sitosterolemia resulting in Abcg8/sterolin-2 deficiency alone. Homozygous knockout mice are viable and exhibit sitosterolemia.

Results

Mice deficient in Abcg8 have significantly increased plasma and tissue plant sterol levels (sitosterol and campesterol) consistent with sitosterolemia. Interestingly, Abcg5/sterolin-1 was expressed in both liver and intestine in Abcg8/sterolin-2 deficient mice and continued to show an apical expression. Remarkably, Abcg8 deficient mice had an impaired ability to secrete cholesterol into bile, but still maintained the ability to secrete sitosterol. We also report an intermediate phenotype in the heterozygous Abcg8+/- mice that are not sitosterolemic, but have a decreased level of biliary sterol secretion relative to wild-type mice.

Conclusion

These data indicate that Abcg8/sterolin-2 is necessary for biliary sterol secretion and that loss of Abcg8/sterolin-2 has a more profound effect upon biliary cholesterol secretion than sitosterol. Since biliary sitosterol secretion is preserved, although not elevated in the sitosterolemic mice, this observation suggests that mechanisms other than by Abcg8/sterolin-2 may be responsible for its secretion into bile.

",2117.0
38,15061865,t,"Dopamine D2 receptors mediate two-odor discrimination and reversal learning in C57BL/6 mice
",
39,15061865,a,"
Abstract

Background

Dopamine modulation of neuronal signaling in the frontal cortex, midbrain, and striatum is essential for processing and integrating diverse external sensory stimuli and attaching salience to environmental cues that signal causal relationships, thereby guiding goal-directed, adaptable behaviors. At the cellular level, dopamine signaling is mediated through D1-like or D2-like receptors. Although a role for D1-like receptors in a variety of goal-directed behaviors has been identified, an explicit involvement of D2 receptors has not been clearly established. To determine whether dopamine D2 receptor-mediated signaling contributes to associative and reversal learning, we compared C57Bl/6J mice that completely lack functional dopamine D2 receptors to wild-type mice with respect to their ability to attach appropriate salience to external stimuli (stimulus discrimination) and disengage from inappropriate behavioral strategies when reinforcement contingencies change (e.g. reversal learning).

Results

Mildly food-deprived female wild-type and dopamine D2 receptor deficient mice rapidly learned to retrieve and consume visible food reinforcers from a small plastic dish. Furthermore, both genotypes readily learned to dig through the same dish filled with sterile sand in order to locate a buried food pellet. However, the dopamine D2 receptor deficient mice required significantly more trials than wild-type mice to discriminate between two dishes, each filled with a different scented sand, and to associate one of the two odors with the presence of a reinforcer (food). In addition, the dopamine D2 receptor deficient mice repeatedly fail to alter their response patterns during reversal trials where the reinforcement rules were inverted.

Conclusions

Inbred C57Bl/6J mice that develop in the complete absence of functional dopamine D2 receptors are capable of olfaction but display an impaired ability to acquire odor-driven reinforcement contingencies. Furthermore, the ability of dopamine D2 receptor deficient mice to adjust their responding to a previously reinforced stimulus when unexpected outcomes are encountered is significantly impaired. These findings suggest that signaling mediated by the dopamine D2 receptor is important for regulating associative and reversal learning and may have implications for the treatment of human attention disorders.

",2489.0
40,15070402,t,"Mig12, a novel Opitz syndrome gene product partner, is expressed in the embryonic ventral midline and co-operates with Mid1 to bundle and stabilize microtubules
",
41,15070402,a,"
Abstract

Background

Opitz G/BBB syndrome is a genetic disorder characterized by developmental midline abnormalities, such as hypertelorism, cleft palate, and hypospadias. The gene responsible for the X-linked form of this disease, MID1, encodes a TRIM/RBCC protein that is anchored to the microtubules. The association of Mid1 with the cytoskeleton is regulated by dynamic phosphorylation, through the interaction with the α4 subunit of phosphatase 2A (PP2A). Mid1 acts as an E3 ubiquitin ligase, regulating PP2A degradation on microtubules.

Results

In spite of these findings, the biological role exerted by the Opitz syndrome gene product is still unclear and the presence of other potential interacting moieties in the Mid1 structure prompted us to search for additional cellular partners. Through a yeast two-hybrid screening approach, we identified a novel gene, MIG12, whose protein product interacts with Mid1. We confirmed by immunoprecipitation that this interaction occurs in vivo and that it is mediated by the Mid1 coiled-coil domain. We found that Mig12 is mainly expressed in the neuroepithelial midline, urogenital apparatus, and digits during embryonic development. Transiently expressed Mig12 is found diffusely in both nucleus and cytoplasm, although it is enriched in the microtubule-organizing center region. Consistently with this, endogenous Mig12 protein is partially detected in the polymerized tubulin fraction after microtubule stabilization. When co-transfected with Mid1, Mig12 is massively recruited to thick filamentous structures composed of tubulin. These microtubule bundles are resistant to high doses of depolymerizing agents and are composed of acetylated tubulin, thus representing stabilized microtubule arrays.

Conclusions

Our findings suggest that Mig12 co-operates with Mid1 to stabilize microtubules. Mid1-Mig12 complexes might be implicated in cellular processes that require microtubule stabilization, such as cell division and migration. Impairment in Mig12/Mid1-mediated microtubule dynamic regulation, during the development of embryonic midline, may cause the pathological signs observed in Opitz syndrome patients.

",2333.0
42,15207008,t,"Structure-function evolution of the Transforming acidic coiled coil genes revealed by analysis of phylogenetically diverse organisms
",
